,LineId,Time,Component,Pid,Content
50,51,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
51,52,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240
52,53,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593
53,54,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971
54,55,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075
55,56,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
56,57,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240
57,58,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594
58,59,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4
59,60,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097
60,61,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240
61,62,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468
62,63,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973
63,64,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118
64,65,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4
65,66,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469
66,67,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
67,68,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597
68,69,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4
69,70,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469
70,71,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240
71,72,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598
72,73,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
73,74,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599
74,75,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4
75,76,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972
76,77,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467
77,78,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
78,79,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240
79,80,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600
80,81,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467
81,82,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246
82,83,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602
83,84,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4
84,85,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469
85,86,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
86,87,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240
87,88,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603
88,89,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968
89,90,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289
90,91,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604
91,92,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311
92,93,20171223-22:15:44:170,Step_StandReportReceiver,30002312,REPORT : 7032 5020 150625 240
93,94,20171223-22:15:45:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127332
94,95,20171223-22:15:45:164,Step_StandReportReceiver,30002312,REPORT : 7033 5021 150646 240
95,96,20171223-22:15:45:348,Step_LSC,30002312,onStandStepChanged 3606
96,97,20171223-22:15:45:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469
97,98,20171223-22:15:45:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969
98,99,20171223-22:15:45:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127354
99,100,20171223-22:15:45:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
100,101,20171223-22:15:45:659,Step_StandReportReceiver,30002312,REPORT : 7034 5022 150668 240
101,102,20171223-22:15:45:851,Step_LSC,30002312,onExtend:1514038546000 1 0 4
102,103,20171223-22:15:46:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127375
103,104,20171223-22:15:46:164,Step_StandReportReceiver,30002312,REPORT : 7035 5022 150689 240
104,105,20171223-22:15:46:349,Step_LSC,30002312,onStandStepChanged 3608
105,106,20171223-22:15:46:355,Step_LSC,30002312,onExtend:1514038547000 1 0 4
106,107,20171223-22:15:46:651,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970
107,108,20171223-22:15:46:674,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127396
108,109,20171223-22:15:46:684,Step_StandReportReceiver,30002312,REPORT : 7036 5023 150711 240
109,110,20171223-22:15:47:349,Step_LSC,30002312,onStandStepChanged 3609
110,111,20171223-22:15:47:370,Step_LSC,30002312,onExtend:1514038548000 1 0 4
111,112,20171223-22:15:47:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969
112,113,20171223-22:15:47:857,Step_LSC,30002312,onStandStepChanged 3610
113,114,20171223-22:15:47:860,Step_LSC,30002312,onExtend:1514038548000 1 0 4
114,115,20171223-22:15:48:159,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478
115,116,20171223-22:15:48:167,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127439
116,117,20171223-22:15:48:174,Step_StandReportReceiver,30002312,REPORT : 7038 5025 150753 240
117,118,20171223-22:15:48:368,Step_LSC,30002312,onExtend:1514038549000 1 0 4
118,119,20171223-22:15:48:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971
119,120,20171223-22:15:49:366,Step_LSC,30002312,onExtend:1514038550000 1 0 4
120,121,20171223-22:15:49:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7039##548365##8661##15306##27192971
121,122,20171223-22:15:49:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
122,123,20171223-22:15:49:676,Step_StandReportReceiver,30002312,REPORT : 7040 5026 150796 240
123,124,20171223-22:15:49:864,Step_LSC,30002312,onExtend:1514038550000 1 0 4
124,125,20171223-22:15:50:161,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480
125,126,20171223-22:15:50:176,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127504
126,127,20171223-22:15:50:181,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
127,128,20171223-22:15:50:182,Step_StandReportReceiver,30002312,REPORT : 7041 5027 150818 240
128,129,20171223-22:15:50:850,Step_LSC,30002312,onStandStepChanged 3614
129,130,20171223-22:15:51:151,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7041##548365##8661##15496##27194480
130,131,20171223-22:15:51:180,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
131,132,20171223-22:15:51:859,Step_LSC,30002312,onStandStepChanged 3616
132,133,20171223-22:15:51:868,Step_LSC,30002312,onExtend:1514038552000 2 0 4
133,134,20171223-22:15:52:175,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127568
134,135,20171223-22:15:52:349,Step_LSC,30002312,onStandStepChanged 3617
135,136,20171223-22:15:52:651,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7044##548365##8661##15686##27196480
136,137,20171223-22:15:52:652,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970
137,138,20171223-22:15:52:674,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
138,139,20171223-22:15:52:674,Step_StandReportReceiver,30002312,REPORT : 7045 5030 150903 240
139,140,20171223-22:15:53:349,Step_LSC,30002312,onStandStepChanged 3619
140,141,20171223-22:15:53:358,Step_LSC,30002312,onExtend:1514038554000 2 0 4
141,142,20171223-22:15:53:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972
142,143,20171223-22:15:53:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127632
143,144,20171223-22:15:53:673,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
144,145,20171223-22:15:53:675,Step_StandReportReceiver,30002312,REPORT : 7047 5031 150946 240
145,146,20171223-22:15:54:359,Step_LSC,30002312,onExtend:1514038555000 1 0 4
146,147,20171223-22:15:54:651,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7047##548365##8661##15876##27197972
147,148,20171223-22:15:54:657,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127653
148,149,20171223-22:15:55:359,Step_LSC,30002312,onExtend:1514038556000 2 0 4
149,150,20171223-22:15:56:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7050##548365##8661##16066##27199969
150,151,20171223-22:15:56:169,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
151,152,20171223-22:15:57:851,Step_LSC,30002312,onStandStepChanged 3625
152,153,20171223-22:15:58:156,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475
153,154,20171223-22:15:58:170,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127761
154,155,20171223-22:15:58:175,Step_StandReportReceiver,30002312,REPORT : 7053 5035 151075 240
155,156,20171223-22:16:0:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469
156,157,20171223-22:16:0:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127782
157,158,20171223-22:16:0:162,Step_StandReportReceiver,30002312,REPORT : 7054 5036 151096 240
158,159,20171223-22:16:0:849,Step_LSC,30002312,onStandStepChanged 3626
159,160,20171223-22:16:0:859,Step_LSC,30002312,onExtend:1514038561000 0 0 0
160,161,20171223-22:16:1:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038500000##7054##548458##8661##16256##27204469
161,162,20171223-22:16:1:165,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127782
162,163,20171223-22:16:1:172,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
163,164,20171223-22:17:18:850,Step_LSC,30002312,onStandStepChanged 3626
164,165,20171223-22:17:18:864,Step_LSC,30002312,onExtend:1514038639000 0 0 4
165,166,20171223-22:17:19:151,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038500000##7054##548551##8661##16256##27205469
166,167,20171223-22:17:19:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470
167,168,20171223-22:17:20:348,Step_LSC,30002312,onStandStepChanged 3628
168,169,20171223-22:17:20:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7054##548552##8661##16256##27283470
169,170,20171223-22:17:20:662,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127824
170,171,20171223-22:17:20:853,Step_LSC,30002312,onStandStepChanged 3630
171,172,20171223-22:17:20:859,Step_LSC,30002312,onExtend:1514038641000 2 0 4
172,173,20171223-22:17:21:156,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7056##548553##8661##16256##27284971
173,174,20171223-22:17:21:156,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475
174,175,20171223-22:17:21:162,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127867
175,176,20171223-22:17:21:348,Step_LSC,30002312,onStandStepChanged 3632
176,177,20171223-22:17:21:353,Step_LSC,30002312,onExtend:1514038642000 2 0 4
177,178,20171223-22:17:21:649,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968
178,179,20171223-22:17:21:659,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127910
179,180,20171223-22:17:21:668,Step_StandReportReceiver,30002312,REPORT : 7060 5040 151225 240
180,181,20171223-22:17:21:850,Step_LSC,30002312,onStandStepChanged 3634
181,182,20171223-22:17:21:859,Step_LSC,30002312,onExtend:1514038642000 2 0 4
182,183,20171223-22:17:22:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
183,184,20171223-22:17:22:170,Step_StandReportReceiver,30002312,REPORT : 7062 5042 151268 240
184,185,20171223-22:17:22:348,Step_LSC,30002312,onStandStepChanged 3636
185,186,20171223-22:17:22:650,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7062##548556##8661##16256##27286470
186,187,20171223-22:17:22:661,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127996
187,188,20171223-22:17:22:665,Step_StandReportReceiver,30002312,REPORT : 7064 5043 151310 240
188,189,20171223-22:17:23:358,Step_LSC,30002312,onExtend:1514038644000 2 0 4
189,190,20171223-22:17:23:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972
190,191,20171223-22:17:23:667,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
191,192,20171223-22:17:23:668,Step_StandReportReceiver,30002312,REPORT : 7068 5046 151396 240
192,193,20171223-22:17:23:851,Step_LSC,30002312,onStandStepChanged 3642
193,194,20171223-22:17:24:162,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128124
194,195,20171223-22:17:24:348,Step_LSC,30002312,onStandStepChanged 3643
195,196,20171223-22:17:24:359,Step_LSC,30002312,onExtend:1514038645000 1 0 4
196,197,20171223-22:17:24:654,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7070##548560##8661##16256##27288471
197,198,20171223-22:17:24:668,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
198,199,20171223-22:17:25:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7074##548562##8661##16256##27289470
199,200,20171223-22:17:25:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128210
200,201,20171223-22:17:27:855,Step_LSC,30002312,onStandStepChanged 3646
201,202,20171223-22:17:27:859,Step_LSC,30002312,onExtend:1514038648000 0 0 0
202,203,20171223-22:17:28:156,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475
203,204,20171223-22:17:28:170,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
204,205,20171223-22:17:44:849,Step_LSC,30002312,onStandStepChanged 3647
205,206,20171223-22:17:44:869,Step_LSC,30002312,onExtend:1514038665000 1 0 4
206,207,20171223-22:17:45:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7075##548564##8661##16256##27309470
207,208,20171223-22:17:45:366,Step_LSC,30002312,onExtend:1514038666000 2 0 4
208,209,20171223-22:17:45:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7077##548565##8661##16256##27309969
209,210,20171223-22:17:45:663,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128274
210,211,20171223-22:17:45:668,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
211,212,20171223-22:17:45:851,Step_LSC,30002312,onStandStepChanged 3651
212,213,20171223-22:17:45:856,Step_LSC,30002312,onExtend:1514038666000 2 0 4
213,214,20171223-22:17:46:167,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
214,215,20171223-22:17:46:651,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970
215,216,20171223-22:17:46:661,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
216,217,20171223-22:17:46:662,Step_StandReportReceiver,30002312,REPORT : 7081 5055 151675 240
217,218,20171223-22:17:46:858,Step_LSC,30002312,onExtend:1514038667000 2 0 4
218,219,20171223-22:17:47:154,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7083##548568##8661##16256##27311472
219,220,20171223-22:17:47:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128403
220,221,20171223-22:17:47:165,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
221,222,20171223-22:17:47:166,Step_StandReportReceiver,30002312,REPORT : 7083 5057 151717 240
222,223,20171223-22:17:47:349,Step_LSC,30002312,onStandStepChanged 3656
223,224,20171223-22:17:47:651,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7083##548568##8661##16256##27311472
224,225,20171223-22:17:47:652,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7084##548569##8661##16256##27311970
225,226,20171223-22:17:47:659,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128424
226,227,20171223-22:17:47:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
227,228,20171223-22:17:47:662,Step_StandReportReceiver,30002312,REPORT : 7084 5057 151739 240
228,229,20171223-22:17:48:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7086##548570##8661##16256##27312467
229,230,20171223-22:17:48:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128467
230,231,20171223-22:17:48:164,Step_StandReportReceiver,30002312,REPORT : 7086 5059 151782 240
231,232,20171223-22:17:48:649,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7088##548571##8661##16256##27312967
232,233,20171223-22:17:48:661,Step_StandReportReceiver,30002312,REPORT : 7088 5060 151824 240
233,234,20171223-22:17:48:848,Step_LSC,30002312,onStandStepChanged 3662
234,235,20171223-22:17:48:853,Step_LSC,30002312,onExtend:1514038669000 2 0 4
235,236,20171223-22:17:49:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7088##548571##8661##16256##27312967
236,237,20171223-22:17:49:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468
237,238,20171223-22:17:49:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
238,239,20171223-22:17:49:655,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7092##548573##8661##16256##27313974
239,240,20171223-22:17:49:848,Step_LSC,30002312,onStandStepChanged 3666
240,241,20171223-22:17:49:854,Step_LSC,30002312,onExtend:1514038670000 2 0 4
241,242,20171223-22:17:50:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7094##548574##8661##16256##27314468
242,243,20171223-22:17:50:348,Step_LSC,30002312,onStandStepChanged 3667
243,244,20171223-22:17:50:661,Step_StandReportReceiver,30002312,REPORT : 7095 5065 151974 240
244,245,20171223-22:17:50:856,Step_LSC,30002312,onExtend:1514038671000 2 0 4
245,246,20171223-22:17:51:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7095##548575##8661##16256##27314968
246,247,20171223-22:17:51:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7097##548576##8661##16256##27315469
247,248,20171223-22:17:51:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128703
248,249,20171223-22:17:51:161,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
249,250,20171223-22:17:51:370,Step_LSC,30002312,onExtend:1514038672000 2 0 4
250,251,20171223-22:17:51:664,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7097##548576##8661##16256##27315469
251,252,20171223-22:17:52:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7101##548578##8661##16256##27316470
252,253,20171223-22:17:52:162,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128788
253,254,20171223-22:17:52:169,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
254,255,20171223-22:17:52:848,Step_LSC,30002312,onStandStepChanged 3674
255,256,20171223-22:17:53:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7101##548578##8661##16256##27316470
256,257,20171223-22:17:53:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7102##548579##8661##16256##27317468
257,258,20171223-22:17:53:169,Step_StandReportReceiver,30002312,REPORT : 7102 5070 152124 240
258,259,20171223-22:17:53:859,Step_LSC,30002312,onExtend:1514038674000 1 0 4
259,260,20171223-22:17:54:176,Step_StandReportReceiver,30002312,REPORT : 7103 5071 152146 240
260,261,20171223-22:17:54:864,Step_LSC,30002312,onExtend:1514038675000 1 0 4
261,262,20171223-22:17:55:153,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7103##548580##8661##16256##27318472
262,263,20171223-22:17:55:162,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=128853
263,264,20171223-22:17:55:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
264,265,20171223-22:17:55:348,Step_LSC,30002312,onStandStepChanged 3677
265,266,20171223-22:17:55:381,Step_LSC,30002312,onExtend:1514038676000 1 0 4
266,267,20171223-22:17:55:660,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240
267,268,20171223-22:17:56:349,Step_LSC,30002312,onStandStepChanged 3678
268,269,20171223-22:17:56:650,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7105##548582##8661##16256##27319968
269,270,20171223-22:17:57:349,Step_LSC,30002312,onStandStepChanged 3679
