,LineId,Date,Time,Pid,Tid,Level,Component,Content
45,46,03-17,16:13:45.598,1702,2556,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702"
46,47,03-17,16:13:45.599,1702,2556,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
47,48,03-17,16:13:45.599,1702,2556,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks""."
48,49,03-17,16:13:45.627,2227,2227,I,PhoneStatusBar,cancelAutohide
49,50,03-17,16:13:45.627,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500"
50,51,03-17,16:13:46.143,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261850777, event=2, flags=0x0, uid=1000"
51,52,03-17,16:13:46.144,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
52,53,03-17,16:13:46.153,1702,2113,V,AudioManager,getRingtonePlayer...
53,54,03-17,16:13:46.155,2227,2227,D,PhoneStatusBar,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >
54,55,03-17,16:13:46.155,2227,2227,I,PhoneStatusBar,suspendAutohide
55,56,03-17,16:13:46.158,1702,2113,I,NotificationManager,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true"
56,57,03-17,16:13:46.161,1702,3137,I,NotificationManager,"updateLightsLocked,turn off notificationLight"
57,58,03-17,16:13:46.187,2227,2227,I,StackScrollAlgorithm,"state.clipTopAmount:180, i:0"
58,59,03-17,16:13:46.187,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true
59,60,03-17,16:13:46.232,1702,8289,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output
60,61,03-17,16:13:46.240,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000600 mask=ffffffff oldVal=40000500 newVal=40000600 diff=300 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"
61,62,03-17,16:13:46.241,2227,2227,I,PhoneStatusBar,suspendAutohide
62,63,03-17,16:13:46.242,2227,2227,I,PanelView,onExpandingStarted
63,64,03-17,16:13:46.250,2227,2227,I,PanelView,onTrackingStarted
64,65,03-17,16:13:46.277,1702,14640,I,WindowManager,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555
65,66,03-17,16:13:46.285,2227,2227,I,PhoneStatusBar,suspendAutohide
66,67,03-17,16:13:46.290,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-479.0"
67,68,03-17,16:13:46.306,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-452.0"
68,69,03-17,16:13:46.306,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true
69,70,03-17,16:13:46.318,2227,2227,I,StackScrollAlgorithm,"overlapAmount:85.0, previousNotificationEnd:0.0, newYTranslation:-85.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-418"
70,71,03-17,16:13:46.318,2227,2227,I,StackScrollAlgorithm,"state.clipTopAmount:69, i:0"
71,72,03-17,16:13:46.318,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true
72,73,03-17,16:13:46.338,2227,2227,I,PhoneStatusBar,suspendAutohide
73,74,03-17,16:13:46.339,2227,2227,I,StackScrollAlgorithm,"overlapAmount:46.0, previousNotificationEnd:0.0, newYTranslation:-46.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-379"
74,75,03-17,16:13:46.339,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-379.0"
75,76,03-17,16:13:46.352,2227,2227,I,StackScrollAlgorithm,"overlapAmount:5.0, previousNotificationEnd:0.0, newYTranslation:-5.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-338"
76,77,03-17,16:13:46.352,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-338.0"
77,78,03-17,16:13:46.352,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true
78,79,03-17,16:13:46.368,2227,2227,I,PhoneStatusBar,suspendAutohide
79,80,03-17,16:13:46.397,2227,2227,I,PhoneStatusBar,suspendAutohide
80,81,03-17,16:13:46.398,2227,2227,I,PanelView,"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false"
81,82,03-17,16:13:46.398,2227,2227,I,PanelView,onTrackingStopped: true
82,83,03-17,16:13:46.403,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-240.0"
83,84,03-17,16:13:46.417,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-200.0"
84,85,03-17,16:13:46.435,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-168.0"
85,86,03-17,16:13:46.435,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
86,87,03-17,16:13:46.451,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-139.0"
87,88,03-17,16:13:46.451,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
88,89,03-17,16:13:46.468,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-113.0"
89,90,03-17,16:13:46.486,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
90,91,03-17,16:13:46.502,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-72.0"
91,92,03-17,16:13:46.502,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
92,93,03-17,16:13:46.535,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
93,94,03-17,16:13:46.551,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-29.0"
94,95,03-17,16:13:46.568,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
95,96,03-17,16:13:46.586,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
96,97,03-17,16:13:46.635,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-1.0"
97,98,03-17,16:13:46.635,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
98,99,03-17,16:13:46.653,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
99,100,03-17,16:13:46.654,1702,10454,W,ActivityManager,Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui
100,101,03-17,16:13:46.671,2227,2318,I,PhoneStatusBar,logNotificationVisibilityChanges runInThread start
101,102,03-17,16:13:46.671,1702,17633,I,NotificationManager,onNotificationVisibilityChanged called
102,103,03-17,16:13:46.672,2227,2318,I,PhoneStatusBar,logNotificationVisibilityChanges runInThread over
103,104,03-17,16:13:46.764,2227,2794,E,KeyguardUpdateMonitor,isSimPinSecure mSimDatas is null or empty
104,105,03-17,16:13:46.765,2227,2794,W,KeyguardUpdateMonitor,registerCallback not in UI.
105,106,03-17,16:13:46.765,2227,2794,W,KeyguardUpdateMonitor,android.util.AndroidRuntimeException: Must execute in UI
106,107,03-17,16:13:46.765,2227,2794,V,KeyguardUpdateMonitor,*** unregister callback for null
107,108,03-17,16:13:46.778,2626,2839,D,PhoneInterfaceManager,[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1
108,109,03-17,16:13:46.778,2626,2839,D,PhoneInterfaceManager,[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true
109,110,03-17,16:13:47.012,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261851646, event=2, flags=0x0, uid=1000"
110,111,03-17,16:13:47.038,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
111,112,03-17,16:13:47.078,2227,2227,I,PanelView,"onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=317.0, y[0]=419.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261851713, downTime=261851646, deviceId=3, source=0x1002 }, mBlockTouches=false"
112,113,03-17,16:13:47.091,2227,2227,V,AudioManager,playSoundEffect   effectType: 0
113,114,03-17,16:13:47.100,2227,2227,I,PhoneStatusBar,"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true"
114,115,03-17,16:13:47.101,2227,2227,I,PanelView,onExpandingStarted
115,116,03-17,16:13:47.102,2227,2318,I,PhoneStatusBar,logNotificationVisibilityChanges runInThread start
116,117,03-17,16:13:47.103,1702,3137,I,NotificationManager,onNotificationVisibilityChanged called
117,118,03-17,16:13:47.104,2227,2318,I,PhoneStatusBar,logNotificationVisibilityChanges runInThread over
118,119,03-17,16:13:47.113,1702,17622,I,ActivityManager,START u0 {act=com.tencent.mobileqq.action.MAINACTIVITY flg=0x14000000 cmp=com.tencent.mobileqq/.activity.SplashActivity (has extras)} from uid 10111 on display 0
119,120,03-17,16:13:47.114,1702,17622,I,ActivityManager,"ActivityRecord info: ActivityInfo{d1c8e63 com.tencent.mobileqq.activity.SplashActivity}, euid: 0"
120,121,03-17,16:13:47.124,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=40000600 newVal=40000500 diff=300 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"
121,122,03-17,16:13:47.124,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500"
122,123,03-17,16:13:47.138,1702,17622,D,PowerManagerService,"Acquiring suspend blocker ""PowerManagerService.WakeLocks""."
123,124,03-17,16:13:47.149,1702,1702,I,NotificationManager,"cancelNotification,index:0"
124,125,03-17,16:13:47.150,1702,17633,E,ActivityManager,applyOptionsLocked: Unknown animationType=0
125,126,03-17,16:13:47.254,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-6.0"
126,127,03-17,16:13:47.270,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-21.0"
127,128,03-17,16:13:47.270,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
128,129,03-17,16:13:47.289,1702,17633,I,WindowManager,"Taking screenshot from Surface with crop:[Rect(0, 48 - 720, 1208)], width:[432], height:[696], minLayer:[21085], maxLayer:[21085], inRotation:[false], rot:[0]"
129,130,03-17,16:13:47.341,1702,1702,I,NotificationManager,"updateLightsLocked,turn off notificationLight"
130,131,03-17,16:13:47.371,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
131,132,03-17,16:13:47.397,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
132,133,03-17,16:13:47.409,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-321.0"
133,134,03-17,16:13:47.410,1702,27357,I,WindowManager,The change in focus caused us to need to do a layout begin
134,135,03-17,16:13:47.441,2227,2227,I,StackScrollAlgorithm,"state.clipTopAmount:79, i:0"
135,136,03-17,16:13:47.441,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-428.0"
136,137,03-17,16:13:47.441,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true
137,138,03-17,16:13:47.449,2227,2227,I,PhoneStatusBar,cancelAutohide
138,139,03-17,16:13:47.449,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x508, SystemUiVisibility=0x508"
139,140,03-17,16:13:47.450,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=0 mask=1 oldVal=508 newVal=508 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
140,141,03-17,16:13:47.460,2227,2227,I,StackScrollAlgorithm,"state.clipTopAmount:138, i:0"
141,142,03-17,16:13:47.460,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-487.0"
142,143,03-17,16:13:47.471,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true
143,144,03-17,16:13:47.496,2227,2227,I,PhoneStatusBar,removeNotificationChildren
144,145,03-17,16:13:47.496,2227,2227,I,PanelView,onExpandingFinished
145,146,03-17,16:13:47.499,1702,2555,W,ActivityManager,Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui
146,147,03-17,16:13:47.517,1702,8671,D,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[264,444][920,908] }"
147,148,03-17,16:13:47.517,1702,8671,D,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }"
148,149,03-17,16:13:47.517,1702,8671,D,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10800000 cmp=com.tencent.qqmusic/.business.lockscreen.LockScreenActivity (has extras) }"
149,150,03-17,16:13:47.518,1702,8671,D,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }"
150,151,03-17,16:13:47.518,1702,8671,D,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }"
151,152,03-17,16:13:47.518,1702,8671,D,ActivityManager,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity}
152,153,03-17,16:13:47.547,1702,3694,D,ActivityManager,"Skipping, withExcluded: false, tr.intent:Intent { flg=0x18800000 cmp=com.tencent.mm/.plugin.base.stub.WXEntryActivity (has extras) }"
153,154,03-17,16:13:47.578,1702,1702,I,NotificationManager,"cancelNotification,index:-1"
154,155,03-17,16:13:47.585,1702,1702,I,NotificationManager,"cancelNotification,index:-1"
155,156,03-17,16:13:47.599,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)"
156,157,03-17,16:13:47.601,2227,2227,I,PanelView,cancelPeek: false
157,158,03-17,16:13:47.602,2227,2227,I,PhoneStatusBar,resumeSuspendedAutohide
158,159,03-17,16:13:47.603,2227,2227,D,PhoneStatusBar,disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >
159,160,03-17,16:13:47.631,1702,2555,I,NotificationManager,"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =123"
160,161,03-17,16:13:47.632,1702,1702,I,NotificationManager,"cancelNotification,index:-1"
161,162,03-17,16:13:47.638,1702,2618,W,ActivityManager,getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output
162,163,03-17,16:13:47.640,1702,3697,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10111}, uid=1000, pid=1702"
163,164,03-17,16:13:47.651,1702,1702,I,NotificationManager,"cancelNotification,index:-1"
164,165,03-17,16:13:47.691,1702,1737,I,NotificationManager,"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =140"
165,166,03-17,16:13:47.700,1702,1702,I,NotificationManager,"cancelNotification,index:-1"
166,167,03-17,16:13:47.709,1702,2113,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
167,168,03-17,16:13:47.709,1702,2113,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks""."
168,169,03-17,16:13:47.713,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=0.0"
169,170,03-17,16:13:47.713,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false
170,171,03-17,16:13:47.736,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
171,172,03-17,16:13:47.743,2227,2794,W,KeyguardUpdateMonitor,android.util.AndroidRuntimeException: Must execute in UI
172,173,03-17,16:13:47.811,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
173,174,03-17,16:13:47.931,2227,2227,V,PhoneStatusBar,setLightsOn(true)
174,175,03-17,16:13:47.931,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
175,176,03-17,16:13:47.943,2227,2227,V,PhoneStatusBar,setLightsOn(true)
