,LineId,Month,Date,Time,Level,Component,PID,Content
51,52,Jun,17,20:55:06,combo,ftpd,30756,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005
52,53,Jun,17,20:55:06,combo,ftpd,30757,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005
53,54,Jun,18,01:30:59,combo,sshd(pam_unix),31201,check pass; user unknown
54,55,Jun,18,01:30:59,combo,sshd(pam_unix),31199,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
55,56,Jun,18,01:30:59,combo,sshd(pam_unix),31198,check pass; user unknown
56,57,Jun,18,01:30:59,combo,sshd(pam_unix),31198,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
57,58,Jun,18,01:30:59,combo,sshd(pam_unix),31205,check pass; user unknown
58,59,Jun,18,01:30:59,combo,sshd(pam_unix),31206,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
59,60,Jun,18,01:30:59,combo,sshd(pam_unix),31204,check pass; user unknown
60,61,Jun,18,01:30:59,combo,sshd(pam_unix),31204,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net
61,62,Jun,18,01:30:59,combo,sshd(pam_unix),31207,check pass; user unknown
62,63,Jun,18,02:08:10,combo,ftpd,31273,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005
63,64,Jun,18,02:08:10,combo,ftpd,31275,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005
64,65,Jun,18,02:08:10,combo,ftpd,31276,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005
65,66,Jun,18,02:08:10,combo,ftpd,31278,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005
66,67,Jun,18,02:08:11,combo,ftpd,31280,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005
67,68,Jun,18,02:08:11,combo,ftpd,31283,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005
68,69,Jun,18,02:08:12,combo,ftpd,31284,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005
69,70,Jun,18,02:08:12,combo,ftpd,31285,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005
70,71,Jun,18,04:07:06,combo,su(pam_unix),31791,session closed for user cyrus
71,72,Jun,18,04:12:42,combo,su(pam_unix),32164,session opened for user news by (uid=0)
72,73,Jun,18,04:12:43,combo,su(pam_unix),32164,session closed for user news
73,74,Jun,19,04:09:11,combo,logrotate,,ALERT exited abnormally with [1]
74,75,Jun,19,04:15:18,combo,su(pam_unix),3676,session opened for user news by (uid=0)
75,76,Jun,20,03:40:59,combo,ftpd,8829,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005
76,77,Jun,20,03:40:59,combo,ftpd,8824,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005
77,78,Jun,20,03:40:59,combo,ftpd,8833,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005
78,79,Jun,20,03:40:59,combo,ftpd,8825,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005
79,80,Jun,20,03:40:59,combo,ftpd,8830,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005
80,81,Jun,20,04:02:55,combo,logrotate,,ALERT exited abnormally with [1]
81,82,Jun,20,04:08:38,combo,su(pam_unix),9558,session closed for user news
82,83,Jun,20,09:20:05,combo,sshd(pam_unix),10035,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
83,84,Jun,20,09:20:05,combo,sshd(pam_unix),10039,check pass; user unknown
84,85,Jun,20,09:20:05,combo,sshd(pam_unix),10039,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
85,86,Jun,20,09:20:07,combo,sshd(pam_unix),10043,check pass; user unknown
86,87,Jun,20,09:20:07,combo,sshd(pam_unix),10043,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
87,88,Jun,20,09:20:07,combo,sshd(pam_unix),10047,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
88,89,Jun,20,09:20:07,combo,sshd(pam_unix),10049,check pass; user unknown
89,90,Jun,20,09:20:07,combo,sshd(pam_unix),10049,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
90,91,Jun,20,09:20:08,combo,sshd(pam_unix),10051,check pass; user unknown
91,92,Jun,20,09:20:08,combo,sshd(pam_unix),10051,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
92,93,Jun,21,04:13:03,combo,su(pam_unix),13327,session opened for user news by (uid=0)
93,94,Jun,21,04:13:04,combo,su(pam_unix),13327,session closed for user news
94,95,Jun,21,08:56:36,combo,sshd(pam_unix),14281,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
95,96,Jun,21,08:56:36,combo,sshd(pam_unix),14279,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
96,97,Jun,21,08:56:36,combo,sshd(pam_unix),14282,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
97,98,Jun,21,08:56:36,combo,sshd(pam_unix),14277,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
98,99,Jun,22,03:17:26,combo,sshd(pam_unix),16206,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
99,100,Jun,22,03:17:46,combo,sshd(pam_unix),16219,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
100,101,Jun,22,03:17:56,combo,sshd(pam_unix),16226,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
101,102,Jun,22,03:17:56,combo,sshd(pam_unix),16227,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
102,103,Jun,22,03:18:05,combo,sshd(pam_unix),16232,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
103,104,Jun,22,03:18:06,combo,sshd(pam_unix),16234,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
104,105,Jun,22,03:18:06,combo,sshd(pam_unix),16235,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
105,106,Jun,22,03:18:16,combo,sshd(pam_unix),16244,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
106,107,Jun,22,03:18:20,combo,sshd(pam_unix),16248,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
107,108,Jun,22,04:05:58,combo,su(pam_unix),16663,session opened for user cyrus by (uid=0)
108,109,Jun,22,04:05:59,combo,su(pam_unix),16663,session closed for user cyrus
109,110,Jun,22,04:11:42,combo,su(pam_unix),17037,session opened for user news by (uid=0)
110,111,Jun,22,04:30:55,combo,sshd(pam_unix),17129,check pass; user unknown
111,112,Jun,22,04:30:55,combo,sshd(pam_unix),17125,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
112,113,Jun,22,04:30:55,combo,sshd(pam_unix),17124,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
113,114,Jun,22,04:30:55,combo,sshd(pam_unix),17132,check pass; user unknown
114,115,Jun,22,04:30:55,combo,sshd(pam_unix),17131,check pass; user unknown
115,116,Jun,22,04:30:55,combo,sshd(pam_unix),17135,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
116,117,Jun,22,04:30:55,combo,sshd(pam_unix),17137,check pass; user unknown
117,118,Jun,22,04:30:56,combo,sshd(pam_unix),17139,check pass; user unknown
118,119,Jun,22,13:16:30,combo,ftpd,17887,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
119,120,Jun,22,13:16:30,combo,ftpd,17888,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
120,121,Jun,22,13:16:30,combo,ftpd,17890,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
121,122,Jun,22,13:16:30,combo,ftpd,17893,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
122,123,Jun,22,13:16:30,combo,ftpd,17879,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
123,124,Jun,22,13:16:30,combo,ftpd,17876,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
124,125,Jun,22,13:16:30,combo,ftpd,17881,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005
125,126,Jun,22,13:16:31,combo,ftpd,17885,connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005
126,127,Jun,22,13:16:31,combo,ftpd,17883,connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005
127,128,Jun,22,13:16:31,combo,ftpd,17891,connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005
128,129,Jun,22,13:16:32,combo,ftpd,17894,connection from 210.245.165.136 () at Wed Jun 22 13:16:32 2005
129,130,Jun,23,01:41:29,combo,sshd(pam_unix),18969,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
130,131,Jun,23,01:41:29,combo,sshd(pam_unix),18971,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
131,132,Jun,23,01:41:29,combo,sshd(pam_unix),18973,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
132,133,Jun,23,01:41:29,combo,sshd(pam_unix),18975,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
133,134,Jun,23,01:41:29,combo,sshd(pam_unix),18977,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
134,135,Jun,23,01:41:30,combo,sshd(pam_unix),18983,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
135,136,Jun,23,01:41:30,combo,sshd(pam_unix),18981,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
136,137,Jun,23,01:41:30,combo,sshd(pam_unix),18976,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
137,138,Jun,23,01:41:32,combo,sshd(pam_unix),18967,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
138,139,Jun,23,02:55:14,combo,sshd(pam_unix),19085,check pass; user unknown
139,140,Jun,23,02:55:14,combo,sshd(pam_unix),19085,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=200.60.37.201
140,141,Jun,23,04:05:28,combo,su(pam_unix),19534,session opened for user cyrus by (uid=0)
141,142,Jun,23,23:30:03,combo,sshd(pam_unix),26189,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
142,143,Jun,23,23:30:04,combo,sshd(pam_unix),26193,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
143,144,Jun,24,04:05:35,combo,su(pam_unix),26938,session closed for user cyrus
144,145,Jun,24,04:05:35,combo,logrotate,,ALERT exited abnormally with [1]
145,146,Jun,24,04:11:12,combo,su(pam_unix),27311,session closed for user news
146,147,Jun,24,18:55:11,combo,ftpd,28568,connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005
147,148,Jun,24,18:55:11,combo,ftpd,28562,connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005
148,149,Jun,24,18:55:11,combo,ftpd,28563,connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005
149,150,Jun,24,18:55:11,combo,ftpd,28565,connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005
150,151,Jun,24,18:55:11,combo,ftpd,28567,connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005
151,152,Jun,24,18:55:18,combo,ftpd,28570,connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005
152,153,Jun,24,18:55:18,combo,ftpd,28573,connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005
153,154,Jun,25,04:04:26,combo,logrotate,,ALERT exited abnormally with [1]
154,155,Jun,25,04:10:34,combo,su(pam_unix),30934,session opened for user news by (uid=0)
155,156,Jun,25,04:10:35,combo,su(pam_unix),30934,session closed for user news
156,157,Jun,25,04:41:49,combo,sshd(pam_unix),31034,check pass; user unknown
157,158,Jun,25,04:41:51,combo,sshd(pam_unix),31025,check pass; user unknown
158,159,Jun,25,04:41:51,combo,sshd(pam_unix),31025,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
159,160,Jun,25,04:41:51,combo,sshd(pam_unix),31028,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
160,161,Jun,25,04:41:51,combo,sshd(pam_unix),31020,check pass; user unknown
161,162,Jun,25,04:41:51,combo,sshd(pam_unix),31020,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
162,163,Jun,25,04:41:51,combo,sshd(pam_unix),31027,check pass; user unknown
163,164,Jun,25,04:41:51,combo,sshd(pam_unix),31027,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
164,165,Jun,25,04:41:51,combo,sshd(pam_unix),31021,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
165,166,Jun,25,09:20:24,combo,ftpd,31475,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005
166,167,Jun,25,09:20:24,combo,ftpd,31474,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005
167,168,Jun,25,09:20:24,combo,ftpd,31468,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005
168,169,Jun,25,09:20:24,combo,ftpd,31463,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005
169,170,Jun,25,09:20:24,combo,ftpd,31466,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005
170,171,Jun,25,09:20:24,combo,ftpd,31460,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005
171,172,Jun,25,19:25:30,combo,ftpd,32328,connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005
172,173,Jun,25,19:25:30,combo,ftpd,32329,connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005
173,174,Jun,25,19:25:30,combo,ftpd,32323,connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005
174,175,Jun,25,19:25:30,combo,ftpd,32327,connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005
175,176,Jun,25,19:25:30,combo,ftpd,32331,connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005
176,177,Jun,25,19:25:31,combo,ftpd,32333,connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005
177,178,Jun,25,19:25:34,combo,ftpd,32335,connection from 211.167.68.59 () at Sat Jun 25 19:25:34 2005
178,179,Jun,26,04:04:17,combo,su(pam_unix),945,session closed for user cyrus
179,180,Jun,26,04:04:19,combo,cups,,cupsd shutdown succeeded
180,181,Jun,26,04:04:24,combo,cups,,cupsd startup succeeded
181,182,Jun,26,04:10:02,combo,su(pam_unix),1546,session opened for user news by (uid=0)
182,183,Jun,26,04:10:04,combo,su(pam_unix),1546,session closed for user news
183,184,Jun,27,04:02:47,combo,su(pam_unix),7031,session opened for user cyrus by (uid=0)
184,185,Jun,27,04:02:49,combo,logrotate,,ALERT exited abnormally with [1]
185,186,Jun,27,08:05:37,combo,sshd(pam_unix),8660,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
186,187,Jun,27,08:05:39,combo,sshd(pam_unix),8662,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
187,188,Jun,28,04:03:17,combo,logrotate,,ALERT exited abnormally with [1]
188,189,Jun,28,04:09:01,combo,su(pam_unix),11106,session closed for user news
189,190,Jun,28,08:10:24,combo,sshd(pam_unix),11513,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
190,191,Jun,28,08:10:24,combo,sshd(pam_unix),11517,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
191,192,Jun,28,08:10:24,combo,sshd(pam_unix),11521,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
192,193,Jun,28,08:10:24,combo,sshd(pam_unix),11510,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
193,194,Jun,28,08:10:25,combo,sshd(pam_unix),11519,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
194,195,Jun,28,08:10:28,combo,sshd(pam_unix),11512,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
195,196,Jun,28,08:10:29,combo,sshd(pam_unix),11509,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root
196,197,Jun,28,20:58:47,combo,sshd(pam_unix),12669,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root
197,198,Jun,28,20:58:52,combo,sshd(pam_unix),12673,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root
198,199,Jun,28,20:58:53,combo,sshd(pam_unix),12677,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root
199,200,Jun,28,20:58:55,combo,sshd(pam_unix),12679,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root
200,201,Jun,28,20:58:55,combo,sshd(pam_unix),12680,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root
201,202,Jun,28,21:42:46,combo,sshd(pam_unix),12756,check pass; user unknown
202,203,Jun,28,21:42:46,combo,sshd(pam_unix),12756,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.115.206.155
203,204,Jun,28,21:42:46,combo,sshd(pam_unix),12753,check pass; user unknown
204,205,Jun,28,21:42:46,combo,sshd(pam_unix),12752,check pass; user unknown
205,206,Jun,28,21:42:46,combo,sshd(pam_unix),12752,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.115.206.155
206,207,Jun,28,21:42:46,combo,sshd(pam_unix),12755,check pass; user unknown
207,208,Jun,28,21:42:46,combo,sshd(pam_unix),12754,check pass; user unknown
208,209,Jun,28,21:42:46,combo,sshd(pam_unix),12754,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.115.206.155
209,210,Jun,29,03:22:22,combo,ftpd,13262,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
210,211,Jun,29,03:22:22,combo,ftpd,13252,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
211,212,Jun,29,03:22:22,combo,ftpd,13260,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
212,213,Jun,29,03:22:22,combo,ftpd,13259,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
213,214,Jun,29,03:22:22,combo,ftpd,13254,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
214,215,Jun,29,03:22:22,combo,ftpd,13264,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
215,216,Jun,29,03:22:22,combo,ftpd,13251,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
216,217,Jun,29,03:22:22,combo,ftpd,13245,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
217,218,Jun,29,03:22:22,combo,ftpd,13246,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005
