,LineId,Time,Component,Pid,Content,EventId,EventTemplate
41,42,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
42,43,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,E58,setTodayTotalDetailSteps=<*>
43,44,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,E47,REPORT : <*> <*> <*> <*>
44,45,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E39,onExtend:<*> <*> <*> <*>
45,46,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,E58,setTodayTotalDetailSteps=<*>
46,47,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,E47,REPORT : <*> <*> <*> <*>
47,48,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
48,49,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,E47,REPORT : <*> <*> <*> <*>
49,50,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
50,51,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
51,52,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,E47,REPORT : <*> <*> <*> <*>
52,53,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,E42,onStandStepChanged <*>
53,54,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,E58,setTodayTotalDetailSteps=<*>
54,55,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,E4,calculateCaloriesWithCache totalCalories=<*>
55,56,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
56,57,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,E47,REPORT : <*> <*> <*> <*>
57,58,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,E42,onStandStepChanged <*>
58,59,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,E39,onExtend:<*> <*> <*> <*>
59,60,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,E4,calculateCaloriesWithCache totalCalories=<*>
60,61,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,E47,REPORT : <*> <*> <*> <*>
61,62,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
62,63,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,E58,setTodayTotalDetailSteps=<*>
63,64,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,E4,calculateCaloriesWithCache totalCalories=<*>
64,65,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,E39,onExtend:<*> <*> <*> <*>
65,66,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,E58,setTodayTotalDetailSteps=<*>
66,67,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
67,68,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,E42,onStandStepChanged <*>
68,69,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,E39,onExtend:<*> <*> <*> <*>
69,70,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
70,71,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,E47,REPORT : <*> <*> <*> <*>
71,72,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,E42,onStandStepChanged <*>
72,73,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
73,74,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,E42,onStandStepChanged <*>
74,75,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,E39,onExtend:<*> <*> <*> <*>
75,76,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
76,77,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,E58,setTodayTotalDetailSteps=<*>
77,78,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
78,79,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,E47,REPORT : <*> <*> <*> <*>
79,80,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,E42,onStandStepChanged <*>
80,81,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
81,82,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,E4,calculateCaloriesWithCache totalCalories=<*>
82,83,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,E42,onStandStepChanged <*>
83,84,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,E39,onExtend:<*> <*> <*> <*>
84,85,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
85,86,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
86,87,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,E47,REPORT : <*> <*> <*> <*>
87,88,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,E42,onStandStepChanged <*>
88,89,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,E58,setTodayTotalDetailSteps=<*>
89,90,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,E4,calculateCaloriesWithCache totalCalories=<*>
90,91,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,E42,onStandStepChanged <*>
91,92,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,E4,calculateCaloriesWithCache totalCalories=<*>
92,93,20171223-22:15:44:170,Step_StandReportReceiver,30002312,REPORT : 7032 5020 150625 240,E47,REPORT : <*> <*> <*> <*>
93,94,20171223-22:15:45:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127332,E4,calculateCaloriesWithCache totalCalories=<*>
94,95,20171223-22:15:45:164,Step_StandReportReceiver,30002312,REPORT : 7033 5021 150646 240,E47,REPORT : <*> <*> <*> <*>
95,96,20171223-22:15:45:348,Step_LSC,30002312,onStandStepChanged 3606,E42,onStandStepChanged <*>
96,97,20171223-22:15:45:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
97,98,20171223-22:15:45:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,E58,setTodayTotalDetailSteps=<*>
98,99,20171223-22:15:45:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127354,E4,calculateCaloriesWithCache totalCalories=<*>
99,100,20171223-22:15:45:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
100,101,20171223-22:15:45:659,Step_StandReportReceiver,30002312,REPORT : 7034 5022 150668 240,E47,REPORT : <*> <*> <*> <*>
101,102,20171223-22:15:45:851,Step_LSC,30002312,onExtend:1514038546000 1 0 4,E39,onExtend:<*> <*> <*> <*>
102,103,20171223-22:15:46:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127375,E4,calculateCaloriesWithCache totalCalories=<*>
103,104,20171223-22:15:46:164,Step_StandReportReceiver,30002312,REPORT : 7035 5022 150689 240,E47,REPORT : <*> <*> <*> <*>
104,105,20171223-22:15:46:349,Step_LSC,30002312,onStandStepChanged 3608,E42,onStandStepChanged <*>
105,106,20171223-22:15:46:355,Step_LSC,30002312,onExtend:1514038547000 1 0 4,E39,onExtend:<*> <*> <*> <*>
106,107,20171223-22:15:46:651,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,E58,setTodayTotalDetailSteps=<*>
107,108,20171223-22:15:46:674,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127396,E4,calculateCaloriesWithCache totalCalories=<*>
108,109,20171223-22:15:46:684,Step_StandReportReceiver,30002312,REPORT : 7036 5023 150711 240,E47,REPORT : <*> <*> <*> <*>
109,110,20171223-22:15:47:349,Step_LSC,30002312,onStandStepChanged 3609,E42,onStandStepChanged <*>
110,111,20171223-22:15:47:370,Step_LSC,30002312,onExtend:1514038548000 1 0 4,E39,onExtend:<*> <*> <*> <*>
111,112,20171223-22:15:47:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,E58,setTodayTotalDetailSteps=<*>
112,113,20171223-22:15:47:857,Step_LSC,30002312,onStandStepChanged 3610,E42,onStandStepChanged <*>
113,114,20171223-22:15:47:860,Step_LSC,30002312,onExtend:1514038548000 1 0 4,E39,onExtend:<*> <*> <*> <*>
114,115,20171223-22:15:48:159,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,E58,setTodayTotalDetailSteps=<*>
115,116,20171223-22:15:48:167,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127439,E4,calculateCaloriesWithCache totalCalories=<*>
116,117,20171223-22:15:48:174,Step_StandReportReceiver,30002312,REPORT : 7038 5025 150753 240,E47,REPORT : <*> <*> <*> <*>
117,118,20171223-22:15:48:368,Step_LSC,30002312,onExtend:1514038549000 1 0 4,E39,onExtend:<*> <*> <*> <*>
118,119,20171223-22:15:48:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,E58,setTodayTotalDetailSteps=<*>
119,120,20171223-22:15:49:366,Step_LSC,30002312,onExtend:1514038550000 1 0 4,E39,onExtend:<*> <*> <*> <*>
120,121,20171223-22:15:49:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7039##548365##8661##15306##27192971,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
121,122,20171223-22:15:49:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
122,123,20171223-22:15:49:676,Step_StandReportReceiver,30002312,REPORT : 7040 5026 150796 240,E47,REPORT : <*> <*> <*> <*>
123,124,20171223-22:15:49:864,Step_LSC,30002312,onExtend:1514038550000 1 0 4,E39,onExtend:<*> <*> <*> <*>
124,125,20171223-22:15:50:161,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480,E58,setTodayTotalDetailSteps=<*>
125,126,20171223-22:15:50:176,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127504,E4,calculateCaloriesWithCache totalCalories=<*>
126,127,20171223-22:15:50:181,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
127,128,20171223-22:15:50:182,Step_StandReportReceiver,30002312,REPORT : 7041 5027 150818 240,E47,REPORT : <*> <*> <*> <*>
128,129,20171223-22:15:50:850,Step_LSC,30002312,onStandStepChanged 3614,E42,onStandStepChanged <*>
129,130,20171223-22:15:51:151,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7041##548365##8661##15496##27194480,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
130,131,20171223-22:15:51:180,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
131,132,20171223-22:15:51:859,Step_LSC,30002312,onStandStepChanged 3616,E42,onStandStepChanged <*>
132,133,20171223-22:15:51:868,Step_LSC,30002312,onExtend:1514038552000 2 0 4,E39,onExtend:<*> <*> <*> <*>
133,134,20171223-22:15:52:175,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127568,E4,calculateCaloriesWithCache totalCalories=<*>
134,135,20171223-22:15:52:349,Step_LSC,30002312,onStandStepChanged 3617,E42,onStandStepChanged <*>
135,136,20171223-22:15:52:651,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7044##548365##8661##15686##27196480,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
136,137,20171223-22:15:52:652,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970,E58,setTodayTotalDetailSteps=<*>
137,138,20171223-22:15:52:674,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
138,139,20171223-22:15:52:674,Step_StandReportReceiver,30002312,REPORT : 7045 5030 150903 240,E47,REPORT : <*> <*> <*> <*>
139,140,20171223-22:15:53:349,Step_LSC,30002312,onStandStepChanged 3619,E42,onStandStepChanged <*>
140,141,20171223-22:15:53:358,Step_LSC,30002312,onExtend:1514038554000 2 0 4,E39,onExtend:<*> <*> <*> <*>
141,142,20171223-22:15:53:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972,E58,setTodayTotalDetailSteps=<*>
142,143,20171223-22:15:53:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127632,E4,calculateCaloriesWithCache totalCalories=<*>
143,144,20171223-22:15:53:673,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
144,145,20171223-22:15:53:675,Step_StandReportReceiver,30002312,REPORT : 7047 5031 150946 240,E47,REPORT : <*> <*> <*> <*>
145,146,20171223-22:15:54:359,Step_LSC,30002312,onExtend:1514038555000 1 0 4,E39,onExtend:<*> <*> <*> <*>
146,147,20171223-22:15:54:651,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7047##548365##8661##15876##27197972,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
147,148,20171223-22:15:54:657,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127653,E4,calculateCaloriesWithCache totalCalories=<*>
148,149,20171223-22:15:55:359,Step_LSC,30002312,onExtend:1514038556000 2 0 4,E39,onExtend:<*> <*> <*> <*>
149,150,20171223-22:15:56:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7050##548365##8661##16066##27199969,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
150,151,20171223-22:15:56:169,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
151,152,20171223-22:15:57:851,Step_LSC,30002312,onStandStepChanged 3625,E42,onStandStepChanged <*>
152,153,20171223-22:15:58:156,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475,E58,setTodayTotalDetailSteps=<*>
153,154,20171223-22:15:58:170,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127761,E4,calculateCaloriesWithCache totalCalories=<*>
154,155,20171223-22:15:58:175,Step_StandReportReceiver,30002312,REPORT : 7053 5035 151075 240,E47,REPORT : <*> <*> <*> <*>
155,156,20171223-22:16:0:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,E58,setTodayTotalDetailSteps=<*>
156,157,20171223-22:16:0:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127782,E4,calculateCaloriesWithCache totalCalories=<*>
157,158,20171223-22:16:0:162,Step_StandReportReceiver,30002312,REPORT : 7054 5036 151096 240,E47,REPORT : <*> <*> <*> <*>
158,159,20171223-22:16:0:849,Step_LSC,30002312,onStandStepChanged 3626,E42,onStandStepChanged <*>
159,160,20171223-22:16:0:859,Step_LSC,30002312,onExtend:1514038561000 0 0 0,E39,onExtend:<*> <*> <*> <*>
160,161,20171223-22:16:1:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038500000##7054##548458##8661##16256##27204469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
161,162,20171223-22:16:1:165,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127782,E4,calculateCaloriesWithCache totalCalories=<*>
162,163,20171223-22:16:1:172,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
163,164,20171223-22:17:18:850,Step_LSC,30002312,onStandStepChanged 3626,E42,onStandStepChanged <*>
164,165,20171223-22:17:18:864,Step_LSC,30002312,onExtend:1514038639000 0 0 4,E39,onExtend:<*> <*> <*> <*>
165,166,20171223-22:17:19:151,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038500000##7054##548551##8661##16256##27205469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
166,167,20171223-22:17:19:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470,E58,setTodayTotalDetailSteps=<*>
167,168,20171223-22:17:20:348,Step_LSC,30002312,onStandStepChanged 3628,E42,onStandStepChanged <*>
168,169,20171223-22:17:20:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7054##548552##8661##16256##27283470,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
169,170,20171223-22:17:20:662,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127824,E4,calculateCaloriesWithCache totalCalories=<*>
170,171,20171223-22:17:20:853,Step_LSC,30002312,onStandStepChanged 3630,E42,onStandStepChanged <*>
171,172,20171223-22:17:20:859,Step_LSC,30002312,onExtend:1514038641000 2 0 4,E39,onExtend:<*> <*> <*> <*>
172,173,20171223-22:17:21:156,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038560000##7056##548553##8661##16256##27284971,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
173,174,20171223-22:17:21:156,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475,E58,setTodayTotalDetailSteps=<*>
174,175,20171223-22:17:21:162,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127867,E4,calculateCaloriesWithCache totalCalories=<*>
175,176,20171223-22:17:21:348,Step_LSC,30002312,onStandStepChanged 3632,E42,onStandStepChanged <*>
176,177,20171223-22:17:21:353,Step_LSC,30002312,onExtend:1514038642000 2 0 4,E39,onExtend:<*> <*> <*> <*>
177,178,20171223-22:17:21:649,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968,E58,setTodayTotalDetailSteps=<*>
178,179,20171223-22:17:21:659,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127910,E4,calculateCaloriesWithCache totalCalories=<*>
179,180,20171223-22:17:21:668,Step_StandReportReceiver,30002312,REPORT : 7060 5040 151225 240,E47,REPORT : <*> <*> <*> <*>
180,181,20171223-22:17:21:850,Step_LSC,30002312,onStandStepChanged 3634,E42,onStandStepChanged <*>
181,182,20171223-22:17:21:859,Step_LSC,30002312,onExtend:1514038642000 2 0 4,E39,onExtend:<*> <*> <*> <*>
182,183,20171223-22:17:22:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
183,184,20171223-22:17:22:170,Step_StandReportReceiver,30002312,REPORT : 7062 5042 151268 240,E47,REPORT : <*> <*> <*> <*>
184,185,20171223-22:17:22:348,Step_LSC,30002312,onStandStepChanged 3636,E42,onStandStepChanged <*>
