,LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
20,21,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
21,22,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
22,23,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"
23,24,17/06/09,20:10:47,INFO,Configuration.deprecation,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
24,25,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 0,E29,Started reading broadcast variable <*>
25,26,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
26,27,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 0 took 21 ms,E20,Reading broadcast variable <*> took <*> ms
27,28,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
28,29,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 4,E29,Started reading broadcast variable <*>
29,30,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
30,31,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 3 took 17 ms,E20,Reading broadcast variable <*> took <*> ms
31,32,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 1,E29,Started reading broadcast variable <*>
32,33,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
33,34,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 2,E29,Started reading broadcast variable <*>
34,35,17/06/09,20:10:48,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 2 took 16 ms,E20,Reading broadcast variable <*> took <*> ms
35,36,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
36,37,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 1114, boot = 885, init = 223, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
37,38,17/06/09,20:10:48,INFO,storage.MemoryStore,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
38,39,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 38, boot = 11, init = 27, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
39,40,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 42, boot = 12, init = 30, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
40,41,17/06/09,20:10:48,INFO,python.PythonRunner,"Times: total = 42, boot = 13, init = 28, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
41,42,17/06/09,20:10:48,INFO,executor.Executor,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
42,43,17/06/09,20:10:48,INFO,executor.Executor,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
43,44,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 56,E11,Got assigned task <*>
44,45,17/06/09,20:10:52,INFO,executor.Executor,Running task 1.0 in stage 1.0 (TID 56),E24,Running task <*> in stage <*> (TID <*>)
45,46,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 10,E29,Started reading broadcast variable <*>
46,47,17/06/09,20:10:52,INFO,executor.Executor,Running task 2.0 in stage 1.0 (TID 69),E24,Running task <*> in stage <*> (TID <*>)
47,48,17/06/09,20:10:52,INFO,executor.Executor,Running task 3.0 in stage 1.0 (TID 78),E24,Running task <*> in stage <*> (TID <*>)
48,49,17/06/09,20:10:52,INFO,executor.Executor,Running task 4.0 in stage 1.0 (TID 79),E24,Running task <*> in stage <*> (TID <*>)
49,50,17/06/09,20:10:52,INFO,storage.MemoryStore,"Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
50,51,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_4 locally,E10,Found block <*> locally
51,52,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_2 locally,E10,Found block <*> locally
52,53,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_1 locally,E10,Found block <*> locally
53,54,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 41, boot = -4122, init = 4162, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
54,55,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 42, boot = -4121, init = 4162, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
55,56,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 42, boot = -4134, init = 4175, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
56,57,17/06/09,20:10:52,INFO,executor.Executor,Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
57,58,17/06/09,20:10:52,INFO,executor.Executor,Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
58,59,17/06/09,20:10:52,INFO,executor.Executor,Running task 1.0 in stage 2.0 (TID 101),E24,Running task <*> in stage <*> (TID <*>)
59,60,17/06/09,20:10:52,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 118,E11,Got assigned task <*>
60,61,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 11,E29,Started reading broadcast variable <*>
61,62,17/06/09,20:10:52,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 11 took 15 ms,E20,Reading broadcast variable <*> took <*> ms
62,63,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_2 locally,E10,Found block <*> locally
63,64,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_0 locally,E10,Found block <*> locally
64,65,17/06/09,20:10:52,INFO,storage.BlockManager,Found block rdd_2_1 locally,E10,Found block <*> locally
65,66,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 39, boot = -147, init = 186, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
66,67,17/06/09,20:10:52,INFO,python.PythonRunner,"Times: total = 39, boot = -159, init = 198, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
67,68,17/06/09,20:10:52,INFO,executor.Executor,Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
68,69,17/06/09,20:10:52,INFO,executor.Executor,Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
69,70,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 136,E11,Got assigned task <*>
70,71,17/06/09,20:10:53,INFO,executor.Executor,Running task 1.0 in stage 3.0 (TID 136),E24,Running task <*> in stage <*> (TID <*>)
71,72,17/06/09,20:10:53,INFO,executor.Executor,Running task 3.0 in stage 3.0 (TID 158),E24,Running task <*> in stage <*> (TID <*>)
72,73,17/06/09,20:10:53,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 12,E29,Started reading broadcast variable <*>
73,74,17/06/09,20:10:53,INFO,executor.Executor,Running task 4.0 in stage 3.0 (TID 159),E24,Running task <*> in stage <*> (TID <*>)
74,75,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_12 stored as values in memory (estimated size 9.8 KB, free 369.3 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
75,76,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_4 not found, computing it",E19,"Partition <*> not found, computing it"
76,77,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_3 not found, computing it",E19,"Partition <*> not found, computing it"
77,78,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_1 not found, computing it",E19,"Partition <*> not found, computing it"
78,79,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_6_2 not found, computing it",E19,"Partition <*> not found, computing it"
79,80,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_1 locally,E10,Found block <*> locally
80,81,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_0 locally,E10,Found block <*> locally
81,82,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 38, boot = -170, init = 208, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
82,83,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 41, boot = -171, init = 212, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
83,84,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 41, boot = -160, init = 200, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
84,85,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 38, boot = -172, init = 210, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
85,86,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block rdd_6_1 stored as bytes in memory (estimated size 330.0 B, free 370.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
86,87,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block rdd_6_0 stored as bytes in memory (estimated size 265.0 B, free 370.7 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
87,88,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 38, boot = 14, init = 24, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
88,89,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 38, boot = 12, init = 26, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
89,90,17/06/09,20:10:53,INFO,executor.Executor,Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
90,91,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 41, boot = 16, init = 25, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
91,92,17/06/09,20:10:53,INFO,executor.Executor,Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
92,93,17/06/09,20:10:53,INFO,executor.Executor,Finished task 0.0 in stage 3.0 (TID 122). 2667 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
93,94,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 171,E11,Got assigned task <*>
94,95,17/06/09,20:10:53,INFO,executor.Executor,Running task 0.0 in stage 4.0 (TID 171),E24,Running task <*> in stage <*> (TID <*>)
95,96,17/06/09,20:10:53,INFO,executor.Executor,Running task 1.0 in stage 4.0 (TID 185),E24,Running task <*> in stage <*> (TID <*>)
96,97,17/06/09,20:10:53,INFO,executor.Executor,Running task 2.0 in stage 4.0 (TID 195),E24,Running task <*> in stage <*> (TID <*>)
97,98,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 198,E11,Got assigned task <*>
98,99,17/06/09,20:10:53,INFO,executor.Executor,Running task 3.0 in stage 4.0 (TID 198),E24,Running task <*> in stage <*> (TID <*>)
99,100,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 199,E11,Got assigned task <*>
100,101,17/06/09,20:10:53,INFO,executor.Executor,Running task 4.0 in stage 4.0 (TID 199),E24,Running task <*> in stage <*> (TID <*>)
101,102,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_13_piece0 stored as bytes in memory (estimated size 5.7 KB, free 376.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
102,103,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_13 stored as values in memory (estimated size 10.1 KB, free 386.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
103,104,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_6_4 locally,E10,Found block <*> locally
104,105,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_6_2 locally,E10,Found block <*> locally
105,106,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 39, boot = -141, init = 180, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
106,107,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 42, boot = -125, init = 166, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
107,108,17/06/09,20:10:53,INFO,executor.Executor,Finished task 3.0 in stage 4.0 (TID 198). 2099 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
108,109,17/06/09,20:10:53,INFO,executor.Executor,Finished task 4.0 in stage 4.0 (TID 199). 2138 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
109,110,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 206,E11,Got assigned task <*>
110,111,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 220,E11,Got assigned task <*>
111,112,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 231,E11,Got assigned task <*>
112,113,17/06/09,20:10:53,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 14,E29,Started reading broadcast variable <*>
113,114,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 238,E11,Got assigned task <*>
114,115,17/06/09,20:10:53,INFO,executor.Executor,Running task 3.0 in stage 5.0 (TID 238),E24,Running task <*> in stage <*> (TID <*>)
115,116,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 239,E11,Got assigned task <*>
116,117,17/06/09,20:10:53,INFO,executor.Executor,Running task 4.0 in stage 5.0 (TID 239),E24,Running task <*> in stage <*> (TID <*>)
117,118,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_14_piece0 stored as bytes in memory (estimated size 5.8 KB, free 392.3 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
118,119,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_14 stored as values in memory (estimated size 9.6 KB, free 401.9 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
119,120,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_0 locally,E10,Found block <*> locally
120,121,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_3 locally,E10,Found block <*> locally
121,122,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_2 locally,E10,Found block <*> locally
122,123,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_1 locally,E10,Found block <*> locally
123,124,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 39, boot = -85, init = 123, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
124,125,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 39, boot = -81, init = 119, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
125,126,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 42, boot = -79, init = 120, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
126,127,17/06/09,20:10:53,INFO,executor.Executor,Finished task 3.0 in stage 5.0 (TID 238). 2198 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
127,128,17/06/09,20:10:53,INFO,executor.Executor,Finished task 2.0 in stage 5.0 (TID 231). 2198 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
128,129,17/06/09,20:10:53,INFO,executor.Executor,Finished task 4.0 in stage 5.0 (TID 239). 2198 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
129,130,17/06/09,20:10:53,INFO,executor.Executor,Finished task 1.0 in stage 5.0 (TID 220). 2272 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
130,131,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 247,E11,Got assigned task <*>
131,132,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 278,E11,Got assigned task <*>
132,133,17/06/09,20:10:53,INFO,executor.Executor,Running task 3.0 in stage 6.0 (TID 278),E24,Running task <*> in stage <*> (TID <*>)
133,134,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 279,E11,Got assigned task <*>
134,135,17/06/09,20:10:53,INFO,executor.Executor,Running task 4.0 in stage 6.0 (TID 279),E24,Running task <*> in stage <*> (TID <*>)
135,136,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_15_piece0 stored as bytes in memory (estimated size 5.4 KB, free 407.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
136,137,17/06/09,20:10:53,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 15 took 15 ms,E20,Reading broadcast variable <*> took <*> ms
137,138,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_3 locally,E10,Found block <*> locally
138,139,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 39, boot = -107, init = 146, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
139,140,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 39, boot = -103, init = 142, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
140,141,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 42, boot = -101, init = 143, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
141,142,17/06/09,20:10:53,INFO,executor.Executor,Finished task 0.0 in stage 6.0 (TID 247). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
142,143,17/06/09,20:10:53,INFO,executor.Executor,Finished task 2.0 in stage 6.0 (TID 273). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
143,144,17/06/09,20:10:53,INFO,executor.Executor,Finished task 4.0 in stage 6.0 (TID 279). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
144,145,17/06/09,20:10:53,INFO,executor.Executor,Finished task 1.0 in stage 6.0 (TID 261). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
145,146,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 285,E11,Got assigned task <*>
146,147,17/06/09,20:10:53,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 299,E11,Got assigned task <*>
147,148,17/06/09,20:10:53,INFO,executor.Executor,Running task 2.0 in stage 7.0 (TID 312),E24,Running task <*> in stage <*> (TID <*>)
148,149,17/06/09,20:10:53,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 16,E29,Started reading broadcast variable <*>
149,150,17/06/09,20:10:53,INFO,executor.Executor,Running task 4.0 in stage 7.0 (TID 319),E24,Running task <*> in stage <*> (TID <*>)
150,151,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_16_piece0 stored as bytes in memory (estimated size 5.6 KB, free 422.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
151,152,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block broadcast_16 stored as values in memory (estimated size 9.8 KB, free 432.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
152,153,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_11_0 not found, computing it",E19,"Partition <*> not found, computing it"
153,154,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_11_4 not found, computing it",E19,"Partition <*> not found, computing it"
154,155,17/06/09,20:10:53,INFO,spark.CacheManager,"Partition rdd_11_3 not found, computing it",E19,"Partition <*> not found, computing it"
155,156,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_4 locally,E10,Found block <*> locally
156,157,17/06/09,20:10:53,INFO,storage.BlockManager,Found block rdd_2_2 locally,E10,Found block <*> locally
157,158,17/06/09,20:10:53,INFO,python.PythonRunner,"Times: total = 39, boot = -110, init = 149, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
158,159,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block rdd_11_3 stored as bytes in memory (estimated size 157.0 B, free 432.3 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
159,160,17/06/09,20:10:53,INFO,storage.MemoryStore,"Block rdd_11_2 stored as bytes in memory (estimated size 199.0 B, free 432.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
160,161,17/06/09,20:10:54,INFO,python.PythonRunner,"Times: total = 38, boot = 17, init = 21, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
161,162,17/06/09,20:10:54,INFO,executor.Executor,Finished task 0.0 in stage 7.0 (TID 285). 2667 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
162,163,17/06/09,20:10:54,INFO,executor.Executor,Finished task 3.0 in stage 7.0 (TID 318). 2667 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
163,164,17/06/09,20:10:54,INFO,executor.Executor,Finished task 2.0 in stage 7.0 (TID 312). 2667 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
164,165,17/06/09,20:10:54,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 321,E11,Got assigned task <*>
165,166,17/06/09,20:10:54,INFO,executor.Executor,Running task 0.0 in stage 8.0 (TID 321),E24,Running task <*> in stage <*> (TID <*>)
166,167,17/06/09,20:10:54,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 335,E11,Got assigned task <*>
167,168,17/06/09,20:10:54,INFO,executor.Executor,Running task 1.0 in stage 8.0 (TID 335),E24,Running task <*> in stage <*> (TID <*>)
168,169,17/06/09,20:10:54,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 349,E11,Got assigned task <*>
169,170,17/06/09,20:10:54,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 358,E11,Got assigned task <*>
170,171,17/06/09,20:10:54,INFO,executor.Executor,Running task 3.0 in stage 8.0 (TID 358),E24,Running task <*> in stage <*> (TID <*>)
171,172,17/06/09,20:10:54,INFO,executor.Executor,Running task 4.0 in stage 8.0 (TID 359),E24,Running task <*> in stage <*> (TID <*>)
172,173,17/06/09,20:10:54,INFO,storage.MemoryStore,"Block broadcast_17_piece0 stored as bytes in memory (estimated size 5.7 KB, free 438.5 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
173,174,17/06/09,20:10:54,INFO,storage.MemoryStore,"Block broadcast_17 stored as values in memory (estimated size 10.1 KB, free 448.6 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
174,175,17/06/09,20:10:54,INFO,storage.BlockManager,Found block rdd_11_0 locally,E10,Found block <*> locally
